0, 6, 11
1, 9, 9
2, 9, 9
3, 9, 9
4, 11, 11
5, 9, 9
6, 9, 9
7, 9, 9
8, 11, 11
9, 7, 9
10, 7, 9
11, 5, 5
12, 6, 6
13, 8, 8
14, 16, 16
15, 5, 5
16, 5, 5
17, 6, 6
18, 6, 6
19, 8, 8
20, 16, 16
21, 5, 5
22, 5, 5
23, 6, 6
24, 6, 6
25, 8, 8
26, 16, 16
27, 5, 5
28, 6, 6
29, 8, 8
30, 19, 19
31, 5, 5
32, 6, 6
33, 8, 8
34, 6, 6
35, 8, 8
36, 3, 7
37, 5, 7
38, 7, 7
39, 10, 10
40, 13, 13
41, 16, 16
42, 5, 5
43, 6, 6
44, 7, 7
45, 19, 19
46, 17, 17
47, 13, 13
48, 13, 13
49, 11, 11
50, 25, 25
51, 16, 16
52, 6, 6
53, 8, 8
54, 6, 12
55, 8, 16
56, 6, 11
