0, 2, 1, R
1, 1, 1, R
2, 1, 1, R
3, 1, 1, R
4, 1, 1, R
5, 1, 1, R
6, 1, 1, R
7, 1, 1, R
8, 1, 1, R
9, 1, 1, R
10, 1, 1, R
11, 2, 1, L
12, 2, 1, L
13, 3, 1, L
14, 7, 1, L
15, 1, 1, R
16, 3, 2, D
17, 1, 1, R
18, 3, 2, D
19, 1, 1, R
20, 1, 1, R
21, 1, 1, R
22, 3, 2, D
23, 1, 1, R
24, 3, 2, D
25, 1, 1, R
26, 1, 1, R
27, 1, 1, R
28, 1, 1, R
29, 3, 6, L
30, 2, 5, L
31, 1, 2, R
32, 1, 2, R
33, 1, 2, R
34, 1, 1, R
35, 1, 3, R
36, 1, 3, D
37, 2, 3, D
38, 5, 4, D
39, 3, 4, R
40, 5, 7, D
41, 7, 9, D
42, 1, 1, R
43, 1, 1, R
44, 1, 1, R
45, 3, 8, R
46, 8, 3, R
47, 6, 3, R
48, 6, 1, R
49, 5, 1, R
50, 21, 4, D
51, 9, 9, U
52, 1, 1, R
53, 3, 6, L
54, 3, 5, D
55, 5, 7, D
56, 1, 2, R
